// plcout 0
0x8031:		"HYDRAULIC MOTOR OL OPEN"
0x8032:		"WHEELBASE MOTOR OL OPEN"
0x8033:		"SOL CIRCUIT BRKER OPEN-PNL"
0x8034:		"LUBE SYSTEM LEVEL LOW FAULT"
0x8035:		"LUBE SYSTEM PRES HIGH FAULT"
0x8036:		"SYSTEM AIR PRES LOW FAULT"
0x8037:		"SYSTEM FAIL BY PLC-5/VME"
0x8038:		"PLC-5 BATTERY LOW FAULT"
0x8039:		"PLC-5 RACK FAULT"
0x803A:		"INT. RET. ROLLS RAISED FLT"
0x803B:		"INTER. RET. ROLLS LOWD FLT"
0x803C:		"WHEELBASE FILE FAULT"
0x803D:		"15 VDC POWER SUPPLY FAULT"
0x803E:		"WHEELBASE POSITIONING FLT"
0x803F:		"SOLENOID FUSE OPEN - PANEL"

// plcin 4
0x8040:		"WHEELBASE POSITION 1 SELECTED"
0x8041:		"WHEELBASE POSITION 2 SELECTED"
0x8042:		"WHEELBASE POSITION 3 SELECTED"
0x8043:		"WHEELBASE POSITION 4 SELECTED"
0x8044:		"WHEELBASE POSITION 5 SELECTED"
0x8045:		"WHEELBASE POSITION 6 SELECTED"
0x8046:		"WHEELBASE POSITION 7 SELECTED"
0x8047:		"--- OPEN --- (WB 8 SEL)"
0x8048:		"--- OPEN --- (WB 9 SEL)"
0x8049:		"--- OPEN --- (WB 10 SEL)"
0x804A:		"--- OPEN --- (WB 11 SEL)"
0x804B:		"--- OPEN --- (WB 12 SEL)"
0x804C:		"--- OPEN --- (WB 13 SEL)"
0x804D:		"--- OPEN --- (WB 14 SEL)"
0x804E:		"--- OPEN --- (WB 15 SEL)"
0x804F:		"--- OPEN --- (WB 16 SEL)"

// plcin 5
0x8050:		"FRONT EBS DRIVE OL OPEN"
0x8051:		"REAR EBS DRIVE OL OPEN"
0x8052:		"FRONT EBS DRIVE NOT RAISED"
0x8053:		"REAR EBS DRIVE NOT RAISED"
0x8054:		"FRONT EBS DRIVE NOT LOWER"
0x8055:		"REAR EBS DRIVE NOT LOWER"
0x8056:		"FRONT EBS DRIVE DISCONNECT"
0x8057:		"REAR EBS DRIVE DISCONNECT"
0x8058:		"LR PARK BRAKE CYL. NOT RET"
0x8059:		"RR PARK BRAKE CYL. NOT RET"
0x805A:		"AIR DOOR NOT RAISED FAULT"
0x805B:		"AIR DOOR NOT LOWERED FAULT"
0x805C:		"PANEL TEMP HIGH WARNING"
0x805D:		"PRIMARY PHASE OR OPEN BRKER"
0x805E:		"EXHAUST DOOR RAISED FAULT"
0x805F:		"EXHAUST DOOR LOWERED FAULT"

// plcin 6
0x8060:		"FRONT ELEVATOR LOWERED FLT"
0x8061:		"FRONT ELEVATOR RAISED FAULT"
0x8062:		"REAR ELEVATOR LOWERED FAULT"
0x8063:		"REAR ELEVATOR RAISED FAULT"
0x8064:		"REAR STOP POST RAISED FAULT"
0x8065:		"REAR STOP POST LOWERED FLT"
0x8066:		"LFT JNCE STAB. ENGAGED FLT"
0x8067:		"LFT JNCE STAB. DIS FAULT" 
0x8068:		"RHT JNCE STAB. ENGAGED FLT"
0x8069:		"RHT JNCE STAB. DIS FLT"
0x806A:		"JNCE MOTOR DISCONNECT OPEN"
0x806B:		"JNCE MOTOR DRIVE FAULT"
0x806C:		"JNCE SYSTEM COMPLETION FLT"
0x806D:		"PARKING PAWL CYL. EXTEND"
0x806E:		"PARKING PAWL CYL. RETRACT"
0x806F:		"MONITOR BOOM NOT RETRACTED"

// plcin 7
0x8070:		"PARKING PAWL TEST PASSED"
0x8071:		"PARKING PAWL TEST FAILED"
0x8072:		"ABORT SIGNAL"
0x8073:		"YES PUSH BUTTON"
0x8074:		"NO PUSH BUTTON"
0x8075:		"SIDE GUIDE CONTACT"
0x8076:		"ROLLS UP"
0x8077:		"FRONT EBS DRIVE OVERCURRENT"
0x8078:		"REAR EBS DRIVE OVERCURRENT"
0x8079:		"HYDRAULIC SYSTEM TIMEOUT"
0x807A:		"KEYLIST SELECT LSB"
0x807B:		"KEYLIST SELECT"
0x807C:		"KEYLIST SELECT MSB"
0x807D:		"SPD DISP SCAL (1=200 0=160 KPH)"
0x807E:		"DTRL SELECTED"
0x807F:		"STANDARD ENGINE SEL (OFF=CAL)"

// plcin 8
0x8080:		"ROLL DRIVE MOTOR DISC OPEN"
0x8081:		"ROLL DRIVE MOTOR OL OPEN"
0x8082:		"HYD. OIL CIRC. PUMP DISC. "
0x8083:		"HYD. OIL CIRC. PUMP OL OPEN"
0x8084:		"HYD. OIL HEAT EX. FAN DISC"
0x8085:		"HYD OIL HEAT EX FAN OL OPEN"
0x8086:		"CONTROL POWER CIRCUIT BKER"
0x8087:		"PRIMARY VAC CIRCUIT BKER" 
0x8088:		"F. RET. ROLL LOCK ENGAGED"
0x8089:		"F. RET. ROLL LOCK DIS FLT"
0x808A:		"LEFT STONE GUARD EXTENDED"
0x808B:		"LEFT STONE GUARD RETRACTED"
0x808C:		"RIGHT STONE GUARD EXTENDED"
0x808D:		"RIGHT STONE GUARD RETRACTED"
0x808E:		"FRONT HYD. CLUTCH NOT ENG"
0x808F:		"REAR HYD. CLUTCH NOT ENG"

// plcin 9
0x8090:		"SOL. CIRC BKER OPEN  J-BOX"
0x8091:		"SOL. FUSE OPEN  J-BOX"
0x8092:		"FRONT EBS MOTOR DRIVE FLT"
0x8093:		"REAR EBS MOTOR DRIVE FLT"
0x8094:		"HOLDOWN PLATFORM RAISED FLT"
0x8095:		"HOLDOWN PLATFORM LOWERED"
0x8096:		"HLDWN PLAT. LOCK ENGAGED"
0x8097:		"HLDWN PLAT. LOCK DIS"
0x8098:		"PIT VENTILATION INTERLOCK"
0x8099:		"HYD. MOTOR OVERCURRENT"
0x809A:		"HYD. CIRC. MOTOR OVERCUR"
0x809B:		"HYD. OIL COOLING FAN OC"
0x809C:		"WHEELBASE MOTOR OVERCURRENT"
0x809D:		"STOP POST SAFETY PINS"
0x809E:		"FRONT HYD. CLUTCH ENGAGED"
0x809F:		"REAR HYD. CLUTCH ENGAGED" 

// plcin 10
0x80A0:		"ALL FLYWHEELS AT ZEROSPEED"
0x80A1:		"RIGHT HAND DRIVE SEL (OFF=LEFT)"
0x80A2:		"FRONT FLYWHEELS ENGAGED"
0x80A3:		"REAR FLYWHEELS ENGAGED"
0x80A4:		"KELSEY HAYES RWAL TEST SELECTED"
0x80A5:		"KELSEY HAYES 4WAL TEST SELECTED"
0x80A6:		"VEHICLE AT BARCODE SCANNER"
0x80A7:		"NO ABS SELECTED"
0x80A8:		"TEVES ABS SELECTED"
0x80A9:		"WHEELBASE JOG MODE"
0x80AA:		"START DYNO TEST"
0x80AB:		"PRINT TEST RESULTS"
0x80AC:		"RUN FLAT TEST SELECTED"
0x80AD:		"START 40 KPH TEST"
0x80AE:		"START 50 MPH TEST"
0x80AF:		"Open PLC 11.15"
	
// plcin 11
0x80B0 - 0x80BF:	"VEHICLE TYPE"

// plcin 12
0x80C0:		"FRONT EBS MOTOR OVERCURR"
0x80C1:		"REAR EBS MOTOR OVERCURRENT"
0x80C2:		"LUBE LEVEL LOW SHUTDOWN"
0x80C3:		"LUBE PRESSURE HIGH SHUTDOWN"
0x80C4:		"MOT BLOWER FUSE OPEN J-BOX"
0x80C5:		"24 VDC POWER SUPPLY FAULT"
0x80C6:		"LR PARK BRAKE CYL EXTEND"
0x80C7:		"RR PARK BRAKE CYL EXTEND"
0x80C8:		"DC HOLDING BRAKE DISABLED"
0x80C9:		"MONITOR BOOM NOT EXTENDED FAULT"
0x80CA:		"F INTER-ROLL CLUTCH ENGAGE FAULT"
0x80CB:		"R INTER-ROLL CLUTCH ENGAGE FAULT"
0x80CC:		"F INTER-ROLL CL. DISENGAGE FAULT"
0x80CD:		"R INTER-ROLL CL. DISENGAGE FAULT"
0x80CE:		"BRAKE TEST PUSHBUTTON"
0x80CF:		"PLC HEARTBEAT FAULT"

// plcin 13
0x80D0:		"LF ROLL MOTOR DISCONNECT"
0x80D1:		"RF ROLL MOTOR DISCONNECT"
0x80D2:		"LR ROLL MOTOR DISCONNECT"
0x80D3:		"RR ROLL MOTOR DISCONNECT"
0x80D4:		"LF ROLL MOTOR OVERLOAD OPEN"
0x80D5:		"RF ROLL MOTOR OVERLOAD OPEN"
0x80D6:		"LR ROLL MOTOR OVERLOAD OPEN"
0x80D7:		"RR ROLL MOTOR OVERLOAD OPEN"
0x80D8:		"LF ROLL MOTOR DRIVE FAULT"
0x80D9:		"RF ROLL MOTOR DRIVE FAULT"
0x80DA:		"LR ROLL MOTOR DRIVE FAULT"
0x80DB:		"RR ROLL MOTOR DRIVE FAULT"
0x80DC:		"WHEELBASE ENCODER FAULT"
0x80DD:		"PLC-VME COMM HEARTBEAT FAULT"
0x80DE:		"OPERATOR CRT DRIVE FAULT"
0x80DF:		"OPERATOR CRT POSITIONING"

// plcin 14
0x80E0:		"PLC-5 RACK 0 FAULT"
0x80E1:		"PLC-5 RACK 1 FAULT"
0x80E2:		"PLC-5 RACK 2 FAULT"
0x80E3:		"PLC-5 RACK 3 FAULT"
0x80E4:		"PLC-5 RACK 4 FAULT"
0x80E5:		"PLC-5 RACK 5 FAULT"
0x80E6:		"PLC-5 RACK 6 FAULT"
0x80E7:		"PLC-5 RACK 7 FAULT"
0x80E8:		"FIRE ALARM DETECTED FAULT"
0x80E9:		"EXHAUST MOTOR OVER CURRENT"
0x80EA:		"EXIT DOOR FAULT"
0x80EB:		"ENTRANCE DOOR FAULT"
0x80EC:		"LF ROLL MOTOR OVER CURRENT"
0x80ED:		"RF ROLL MOTOR OVER CURRENT"
0x80EE:		"LR ROLL MOTOR OVER CURRENT"
0x80EF:		"RR ROLL MOTOR OVER CURRENT"
0x8112:         "PLC Ready Fault"

// plcin 20
0x8140:		"PANEL E-STOP PRESSED"
0x8141:		"RF MACHINE E-STOP PRESSED"
0x8142:		"LR MACHINE E-STOP PRESSED"
0x8143:		"LH PENDANT E-STOP PRESSED"
0x8144:		"RH PENDANT E-STOP PRESSED"
0x8145:		"AIR DOOR STOP PIN P1"
0x8146:		"AIR DOOR STOP PIN P2"
0x8147:		"LF STOP POST PIN"
0x8148:		"RF STOP POST PIN"
0x8149:		"EXHAUST STOP PIN P1"
0x814a:		"EXHAUST STOP PIN P2"
0x814B:         "ROLL MOTOR POWER SUPPLY FAULT"
0x814C:		"ROLL MOTOR POWER SUPPLY ALARM"

// plcin 21
0x8150:		"LF ROLL MOTOR CONTACTOR FAULT"
0x8151:		"RF ROLL MOTOR CONTACTOR FAULT"
0x8152:		"LR ROLL MOTOR CONTACTOR FAULT"
0x8153:		"RR ROLL MOTOR CONTACTOR FAULT"
0x8154:		"VENT SUPPLY FLOW FAULT"
0x8155:		"VENT EXHAUST FLOW FAULT"
0x8156:		"VENT AIR SUPPLY MOTOR DISC OPEN"
0x8157:		"VENT AIR EXHAUST MOTOR DISC OPEN"
0x8158:		"Open PLC 21.8"
0x8159:		"Open PLC 21.9"
0x815A:		"Open PLC 21.10"
0x815B:		"Open PLC 21.11"
0x815C:		"Open PLC 21.12"
0x815D:		"Open PLC 21.13"
0x815E:		"Open PLC 21.14"
0x815F:		"Open PLC 21.15"

